candidate,action_macro_f1,action_churn_vs_base,changed_rows,f1_action_0,pred_count_action_0,f1_action_5,pred_count_action_5,f1_action_8,pred_count_action_8,f1_action_9,pred_count_action_9,f1_action_10,pred_count_action_10,f1_action_11,pred_count_action_11,f1_action_12,pred_count_action_12,f1_action_13,pred_count_action_13,f1_action_14,pred_count_action_14,schedule,alpha
v173_action_ext30_int20_teacher50_a0p02,0.33428176648768426,0.0027342447482494167,41,0.22397891963109354,401,0.2517766497461929,390,0.31446540880503143,55,0.46632124352331605,206,0.5451453308596166,3495,0.44916003536693194,1159,0.6929621036349575,718,0.4951660361496427,1199,0.23255813953488372,14,ext30_int20_teacher50,0.02
v173_action_ext20_int10_teacher70_a0p05,0.3342801028094392,0.006202067355785262,93,0.22251655629139072,397,0.25329280648429586,392,0.3037974683544304,54,0.4675324675324675,205,0.5463790446841295,3517,0.44858156028368795,1153,0.6929621036349575,718,0.4976958525345622,1207,0.23255813953488372,14,ext20_int10_teacher70,0.05
v173_action_ext05_int10_teacher85_a0p03,0.33418775887534563,0.003467822607535845,52,0.2236842105263158,402,0.25480283114256824,394,0.3037974683544304,54,0.46632124352331605,206,0.5455388897479512,3494,0.44935869084475893,1158,0.6929621036349575,718,0.4962089300758214,1194,0.23255813953488372,14,ext05_int10_teacher85,0.03
v173_action_ext20_int10_teacher70_a0p075,0.3341867331956162,0.009669889963321108,145,0.21571238348868177,393,0.25252525252525254,395,0.3076923076923077,52,0.4675324675324675,205,0.5469613259668509,3543,0.44917887261429207,1150,0.6925465838509317,713,0.4991652754590985,1216,0.23255813953488372,14,ext20_int10_teacher70,0.075
v173_action_ext10_int10_teacher80_a0p05,0.3341856489091746,0.006335445148382794,95,0.22486772486772486,398,0.25303643724696356,393,0.3037974683544304,54,0.4675324675324675,205,0.5460992907801419,3513,0.4474966770048737,1154,0.6929621036349575,718,0.4974832214765101,1204,0.23255813953488372,14,ext10_int10_teacher80,0.05
v173_action_ext30_int20_teacher50_a0p03,0.3341505562155686,0.00426808936312104,64,0.22457067371202113,399,0.2517766497461929,390,0.3037974683544304,54,0.46632124352331605,206,0.5456508328192474,3511,0.448871181938911,1156,0.6929621036349575,718,0.49706129303106633,1202,0.23255813953488372,14,ext30_int20_teacher50,0.03
v173_action_ext20_int20_teacher60_a0p03,0.3341156568807737,0.0038012670890296765,57,0.22457067371202113,399,0.2517766497461929,390,0.3037974683544304,54,0.46632124352331605,206,0.5461562210558815,3505,0.4486725663716814,1157,0.6929621036349575,718,0.49600672551492225,1199,0.23255813953488372,14,ext20_int20_teacher60,0.03
v173_action_ext10_int10_teacher80_a0p03,0.3341129860256002,0.003467822607535845,52,0.22397891963109354,401,0.25329280648429586,392,0.3037974683544304,54,0.46632124352331605,206,0.5454545454545454,3495,0.44935869084475893,1158,0.6929621036349575,718,0.4957912457912458,1196,0.23255813953488372,14,ext10_int10_teacher80,0.03
v173_action_ext30_int20_teacher50_a0p05,0.334110323403187,0.007735911970656885,116,0.21837549933422104,393,0.25329280648429586,392,0.3076923076923077,52,0.4675324675324675,205,0.546990171990172,3539,0.4489795918367347,1151,0.6925465838509317,713,0.49707602339181284,1214,0.23255813953488372,14,ext30_int20_teacher50,0.05
v173_action_ext10_int20_teacher70_a0p03,0.3340447027884688,0.003667889296432144,55,0.22427440633245382,400,0.25329280648429586,392,0.3037974683544304,54,0.46632124352331605,206,0.5451174289245982,3499,0.4486725663716814,1157,0.6929621036349575,718,0.49642406394615063,1197,0.23255813953488372,14,ext10_int20_teacher70,0.03
v173_action_ext15_int15_teacher70_a0p03,0.33401558067070747,0.003601200400133378,54,0.22427440633245382,400,0.2517766497461929,390,0.3037974683544304,54,0.46632124352331605,206,0.5452579548965091,3501,0.4486725663716814,1157,0.6929621036349575,718,0.49600672551492225,1199,0.23255813953488372,14,ext15_int15_teacher70,0.03
v173_action_ext20_int10_teacher70_a0p03,0.33393864475588125,0.0035345115038346113,53,0.22427440633245382,400,0.2517766497461929,390,0.3037974683544304,54,0.46632124352331605,206,0.5457915057915058,3502,0.4486725663716814,1157,0.6929621036349575,718,0.4957983193277311,1200,0.23255813953488372,14,ext20_int10_teacher70,0.03
